init_training,file_name,anomaly_threshold,window_size,drift_threshold,AUC,time
False,normality2_Dodgers_NAB.out,0.4,100,0.6,0.45753124474527274,29.963215351104736
False,normality2_MGAB_Dodgers.out,0.4,100,0.6,0.4659816504083054,89.35658502578735
False,normality2_MGAB_NAB.out,0.4,100,0.6,0.690234778096831,60.03848195075989
False,normality2_NAB_Dodgers.out,0.4,100,0.6,0.425933959957571,29.969483852386475
False,normality2_NAB_MGAB.out,0.4,100,0.6,0.7008952747886674,60.52371001243591
False,normality3_Dodgers_MGAB_NAB.out,0.4,100,0.6,0.48394014991660567,90.28540229797363
False,normality3_Dodgers_NAB_MGAB.out,0.4,100,0.6,0.48510489746800806,89.92877745628357
False,normality3_MGAB_Dodgers_NAB.out,0.4,100,0.6,0.48159186387703123,89.91024971008301
False,normality3_MGAB_NAB_Dodgers.out,0.4,100,0.6,0.45665731930832215,90.23169994354248
False,normality3_NAB_Dodgers_MGAB.out,0.4,100,0.6,0.45663112288634244,90.45420122146606
False,normality3_NAB_MGAB_Dodgers.out,0.4,100,0.6,0.4514163889473047,90.32672572135925
False,normality1_Dodgers.out,0.5,25,0.4,0.5,4.229022741317749
False,normality1_MGAB.out,0.5,25,0.4,0.4725125501002004,229.97131276130676
False,normality1_NAB.out,0.5,25,0.4,0.5931127788488021,0.6662323474884033
False,normality2_Dodgers_MGAB.out,0.5,25,0.4,0.5,12.648841619491577
False,normality2_Dodgers_NAB.out,0.5,25,0.4,0.5,4.556889057159424
False,normality2_MGAB_Dodgers.out,0.5,25,0.4,0.24901293867411592,234.62668228149414
False,normality2_MGAB_NAB.out,0.5,25,0.4,0.6819376847044567,229.0484652519226
False,normality2_NAB_Dodgers.out,0.5,25,0.4,0.4772870648275037,45.44428300857544
False,normality2_NAB_MGAB.out,0.5,25,0.4,0.7160763939244521,229.9437186717987
False,normality3_Dodgers_MGAB_NAB.out,0.5,25,0.4,0.5,13.143256187438965
False,normality3_Dodgers_NAB_MGAB.out,0.5,25,0.4,0.5,13.216898918151855
False,normality3_MGAB_Dodgers_NAB.out,0.5,25,0.4,0.25497191200520203,234.1737129688263
False,normality3_MGAB_NAB_Dodgers.out,0.5,25,0.4,0.39873022869037605,275.19063210487366
False,normality3_NAB_Dodgers_MGAB.out,0.5,25,0.4,0.6018983154644989,53.74405527114868
False,normality3_NAB_MGAB_Dodgers.out,0.5,25,0.4,0.3889465976467264,273.5161130428314
False,normality1_Dodgers.out,0.5,25,0.5,0.5,4.176598310470581
False,normality1_MGAB.out,0.5,25,0.5,0.4413070390781564,226.29789400100708
False,normality1_NAB.out,0.5,25,0.5,0.5002099972459378,0.5020525455474854
False,normality2_Dodgers_MGAB.out,0.5,25,0.5,0.5,12.683975219726562
False,normality2_Dodgers_NAB.out,0.5,25,0.5,0.5,4.581941604614258
False,normality2_MGAB_Dodgers.out,0.5,25,0.5,0.2494116651711865,231.2320578098297
False,normality2_MGAB_NAB.out,0.5,25,0.5,0.631714621341764,227.74080681800842
False,normality2_NAB_Dodgers.out,0.5,25,0.5,0.4747400855640859,40.41727542877197
False,normality2_NAB_MGAB.out,0.5,25,0.5,0.6524138878414918,225.52801394462585
False,normality3_Dodgers_MGAB_NAB.out,0.5,25,0.5,0.5,13.097349405288696
False,normality3_Dodgers_NAB_MGAB.out,0.5,25,0.5,0.5,13.117444038391113
False,normality3_MGAB_Dodgers_NAB.out,0.5,25,0.5,0.255107170583241,230.83698892593384
False,normality3_MGAB_NAB_Dodgers.out,0.5,25,0.5,0.3854941704337563,266.28857684135437
False,normality3_NAB_Dodgers_MGAB.out,0.5,25,0.5,0.5982578023946717,48.34155249595642
False,normality3_NAB_MGAB_Dodgers.out,0.5,25,0.5,0.3880427157379723,265.10905146598816
False,normality1_Dodgers.out,0.5,25,0.6,0.5,4.2021708488464355
False,normality1_MGAB.out,0.5,25,0.6,0.44526983967935874,218.14025282859802
False,normality1_NAB.out,0.5,25,0.6,0.4904654365188653,0.44716453552246094
False,normality2_Dodgers_MGAB.out,0.5,25,0.6,0.5,12.695425987243652
False,normality2_Dodgers_NAB.out,0.5,25,0.6,0.5,4.552287817001343
False,normality2_MGAB_Dodgers.out,0.5,25,0.6,0.2518427659588606,222.32155084609985
False,normality2_MGAB_NAB.out,0.5,25,0.6,0.6335968665100405,218.06286644935608
False,normality2_NAB_Dodgers.out,0.5,25,0.6,0.4744581535758831,33.18091535568237
False,normality2_NAB_MGAB.out,0.5,25,0.6,0.6425525309948983,218.60895895957947
False,normality3_Dodgers_MGAB_NAB.out,0.5,25,0.6,0.5,13.155637502670288
False,normality3_Dodgers_NAB_MGAB.out,0.5,25,0.6,0.5,13.294963836669922
False,normality3_MGAB_Dodgers_NAB.out,0.5,25,0.6,0.2570687933072634,223.01118731498718
False,normality3_MGAB_NAB_Dodgers.out,0.5,25,0.6,0.38405303433916055,254.39309668540955
False,normality3_NAB_Dodgers_MGAB.out,0.5,25,0.6,0.5888319610397778,41.49167346954346
False,normality3_NAB_MGAB_Dodgers.out,0.5,25,0.6,0.3744606409772679,249.3963005542755
False,normality1_Dodgers.out,0.5,50,0.4,0.46925167245503024,50.217373847961426
False,normality1_MGAB.out,0.5,50,0.4,0.4623306112224449,117.00076508522034
False,normality1_NAB.out,0.5,50,0.4,0.3821481685486092,0.39931368827819824
False,normality2_Dodgers_MGAB.out,0.5,50,0.4,0.3700655293363067,54.79404163360596
False,normality2_Dodgers_NAB.out,0.5,50,0.4,0.4690456959642746,51.03104901313782
False,normality2_MGAB_Dodgers.out,0.5,50,0.4,0.5300669728378945,167.68850874900818
False,normality2_MGAB_NAB.out,0.5,50,0.4,0.5755869855265829,117.85378766059875
False,normality2_NAB_Dodgers.out,0.5,50,0.4,0.5192414141817633,50.61102747917175
False,normality2_NAB_MGAB.out,0.5,50,0.4,0.583703564050752,117.34763050079346
False,normality3_Dodgers_MGAB_NAB.out,0.5,50,0.4,0.42941343252685993,54.957743644714355
False,normality3_Dodgers_NAB_MGAB.out,0.5,50,0.4,0.45686780842779906,55.306902170181274
False,normality3_MGAB_Dodgers_NAB.out,0.5,50,0.4,0.556430125842702,164.76404523849487
False,normality3_MGAB_NAB_Dodgers.out,0.5,50,0.4,0.5827717115152524,166.94362092018127
False,normality3_NAB_Dodgers_MGAB.out,0.5,50,0.4,0.5816274307330871,166.87685251235962
False,normality3_NAB_MGAB_Dodgers.out,0.5,50,0.4,0.5855191943160524,167.3479449748993
